,Order ID
5756,CA-2015-163748
3986,CA-2018-112333
9857,CA-2016-164301
6099,CA-2018-100111
3150,CA-2016-147830
814,CA-2018-143686
2298,CA-2016-113145
6116,US-2017-113677
149,CA-2017-114489
6467,CA-2017-163804
244,CA-2015-131926
7173,US-2018-141677
7846,CA-2016-125976
1625,CA-2016-157084
9056,CA-2016-160227
7132,CA-2018-141439
9513,CA-2017-125220
3384,CA-2016-130659
9947,CA-2018-121559
5516,US-2017-138408
4428,CA-2018-119452
4881,CA-2018-143567
7487,US-2016-134558
1250,CA-2018-115602
1711,CA-2018-123491
6295,CA-2015-141313
9165,CA-2017-100300
4283,CA-2015-103100
247,CA-2015-131926
2660,CA-2018-123372
1155,CA-2015-136567
6200,CA-2016-146675
2020,CA-2017-168354
4208,CA-2015-145387
3183,CA-2018-152912
7697,CA-2018-151799
6234,US-2018-142188
5434,CA-2016-160171
6838,CA-2018-107517
1582,CA-2016-131338
8832,CA-2016-153423
4072,CA-2016-156104
8178,CA-2017-166429
7472,CA-2017-139997
6575,CA-2018-123085
595,CA-2015-131450
406,CA-2018-117457
2476,CA-2017-114972
2941,CA-2018-155880
3827,CA-2018-141733
6175,CA-2016-158421
9734,CA-2015-114321
2993,CA-2018-147291
9425,CA-2015-116246
2755,CA-2016-155306
7328,US-2015-131275
2056,CA-2018-120376
9186,CA-2018-156776
2595,CA-2018-149048
6850,US-2017-100461
9148,US-2017-165505
6881,CA-2016-137113
5626,CA-2015-126683
7250,CA-2016-158491
5725,CA-2016-103933
3426,CA-2016-153381
5188,CA-2016-115567
9703,CA-2018-147032
3580,CA-2017-104157
7387,CA-2017-105732
5300,CA-2017-113831
1621,CA-2018-108560
8009,CA-2016-110863
2239,CA-2017-146633
4115,CA-2017-163573
8562,CA-2017-123540
2189,CA-2018-143063
2273,CA-2016-142944
460,CA-2016-109638
8100,CA-2017-169663
281,US-2016-161991
6101,CA-2018-100111
3590,CA-2018-146535
753,CA-2017-110499
2860,CA-2018-138975
1830,CA-2018-145884
7765,US-2018-118941
5611,CA-2018-121027
7335,CA-2016-113152
8168,CA-2018-107174
2602,CA-2017-165848
6014,CA-2017-159016
5795,CA-2015-124856
5925,CA-2018-150420
1976,CA-2015-110408
1836,CA-2018-122693
4218,CA-2018-149881
1180,CA-2015-128146
3939,US-2017-143448
1013,US-2016-126214
3182,CA-2018-152912
9925,CA-2016-159534
5149,CA-2015-141796
3262,CA-2015-140662
6100,CA-2018-100111
9493,CA-2017-105207
6504,CA-2018-128265
1643,CA-2016-111829
9221,CA-2018-103212
2730,CA-2018-104801
487,CA-2015-154627
8798,US-2017-150140
335,CA-2016-137946
5568,CA-2018-157966
5771,CA-2016-103835
9059,CA-2017-132304
8102,CA-2016-149846
7329,US-2015-131275
6827,CA-2017-118689
9968,CA-2018-153871
3154,CA-2018-150497
3749,CA-2018-161956
3824,CA-2016-140984
7686,CA-2017-169838
7065,CA-2015-106726
4297,CA-2018-129021
4390,CA-2018-111556
3732,CA-2016-109575
2505,CA-2015-143917
9578,CA-2018-152975
909,CA-2018-137596
2435,CA-2016-154746
1701,CA-2016-114069
7114,US-2017-102239
3848,CA-2018-161053
1021,CA-2016-124450
5926,US-2015-118997
4889,CA-2017-163167
4163,CA-2016-163587
2818,CA-2016-104626
3704,CA-2016-104941
8568,CA-2017-162390
3217,CA-2018-104640
7530,US-2018-106145
6876,US-2017-121013
7632,US-2018-158526
8271,CA-2017-169670
2767,CA-2018-167752
8820,CA-2018-100622
810,CA-2015-151995
554,CA-2018-100650
6844,CA-2017-123946
3818,CA-2016-102582
5728,CA-2018-117324
1375,CA-2015-126361
7081,CA-2017-106950
2489,CA-2016-141040
9272,CA-2017-100510
2119,CA-2018-155460
1919,US-2018-111423
4707,CA-2018-138149
4923,CA-2018-114055
3399,CA-2015-102274
7257,CA-2017-152730
3484,CA-2015-124688
54,CA-2017-105816
2291,CA-2016-149342
9652,CA-2017-107104
8394,CA-2017-142594
4400,CA-2017-131737
5118,CA-2016-127173
5866,US-2015-117968
924,CA-2017-149797
3753,CA-2018-161956
5683,CA-2015-164315
4880,CA-2018-143567
5141,CA-2017-111213
8231,CA-2017-162355
2577,CA-2015-129091
1613,CA-2018-138380
6210,CA-2018-119809
4039,CA-2015-110786
6010,CA-2016-135580
9403,CA-2017-105459
1252,CA-2016-154956
2840,US-2015-125521
9727,CA-2018-167395
9866,US-2016-116981
3786,CA-2017-144218
8274,CA-2018-164112
5615,CA-2017-158001
2046,CA-2017-131835
3494,CA-2018-142034
5850,CA-2016-121783
5068,CA-2015-124478
7475,CA-2015-167199
1585,CA-2016-131338
533,CA-2017-168753
9504,CA-2017-113607
638,CA-2017-115917
4246,CA-2018-117702
369,CA-2017-155516
8477,CA-2016-145758
8054,CA-2016-121188
8892,CA-2016-111038
4940,CA-2016-156482
4861,CA-2015-138940
7319,CA-2018-100097
880,CA-2018-111689
9635,CA-2015-151330
5161,CA-2015-111192
8783,CA-2017-116911
765,CA-2015-162775
3525,CA-2018-148922
3823,CA-2016-140984
1805,US-2017-116729
3043,CA-2018-149559
3006,CA-2018-116519
4401,CA-2017-131737
9781,CA-2017-153178
2229,CA-2015-128055
2520,CA-2017-124352
4928,CA-2018-143245
8269,CA-2018-121790
2483,CA-2018-126067
4200,CA-2016-143105
7952,CA-2016-145814
806,CA-2015-134313
6398,CA-2018-151981
7624,CA-2016-136805
1811,CA-2015-132612
8586,CA-2018-162015
8734,CA-2018-116988
3370,CA-2017-134887
6565,CA-2015-166086
2023,CA-2017-168354
8468,US-2017-164196
9696,CA-2015-144281
6922,CA-2016-134257
2095,US-2017-146570
7135,CA-2018-141439
24,CA-2016-106320
8799,CA-2015-116666
4029,CA-2018-124296
7276,CA-2015-120670
2567,CA-2018-123967
5559,US-2016-114741
4937,CA-2015-157147
2673,CA-2015-126403
159,CA-2017-114104
5394,US-2015-123183
5772,CA-2016-158939
2209,CA-2015-125556
721,CA-2017-142335
2813,CA-2016-135685
2201,US-2015-165659
6309,CA-2017-163328
7183,CA-2018-128853
1468,CA-2018-139199
9660,CA-2017-160717
6174,US-2015-106299
4453,CA-2017-147137
8877,CA-2018-126928
5753,CA-2017-118514
424,CA-2018-155705
6062,CA-2016-111780
4978,CA-2016-165050
5612,CA-2018-121027
1126,US-2015-147627
7557,CA-2018-159506
8699,CA-2018-119284
3996,CA-2016-105627
1144,CA-2015-146969
9172,US-2017-155768
7617,CA-2017-144309
8889,CA-2017-147256
9249,CA-2017-127761
4417,CA-2018-112900
6692,CA-2018-160899
1,CA-2017-152156
4758,CA-2015-121573
3090,CA-2017-112123
5876,CA-2015-152443
7896,CA-2018-124744
1376,CA-2015-126361
144,CA-2018-155376
5920,US-2016-126977
5609,CA-2018-117198
3890,US-2017-163881
7551,CA-2015-140396
2709,CA-2016-121797
3298,CA-2018-136308
7460,US-2016-136987
1988,CA-2016-127509
8636,CA-2015-160094
6968,CA-2016-110765
7227,CA-2018-127397
6941,CA-2018-107132
1953,CA-2018-157987
1030,CA-2015-163552
4073,US-2016-164308
2551,CA-2018-101042
2648,CA-2015-131002
2671,CA-2015-126403
2548,US-2016-128090
5651,CA-2018-142342
3891,US-2017-163881
6662,CA-2016-129322
5345,CA-2018-108539
270,CA-2018-163979
1150,CA-2016-112452
8935,CA-2018-130036
3569,CA-2018-168109
5763,CA-2016-162047
3678,CA-2016-132626
6190,CA-2017-157259
8012,CA-2018-120168
433,CA-2017-127369
5005,CA-2016-158659
4648,CA-2018-129357
4586,US-2018-163790
5604,CA-2016-142475
540,CA-2015-140795
6076,CA-2017-151561
4136,CA-2018-105914
7478,CA-2015-167199
2516,CA-2015-128888
1539,CA-2018-121888
9348,CA-2017-114860
5825,CA-2018-161067
2353,CA-2016-111514
2404,CA-2018-108574
3816,CA-2016-102582
3583,CA-2016-121650
4009,CA-2018-144463
6394,CA-2017-129126
5127,CA-2015-160766
7977,CA-2015-166051
5221,CA-2018-117401
8048,CA-2017-168543
6559,CA-2017-160941
1545,CA-2015-150245
1429,US-2016-164448
5884,CA-2017-136301
1788,CA-2016-154326
5059,CA-2017-109722
5039,CA-2016-136469
1986,CA-2017-147417
4048,US-2016-166520
5043,CA-2017-158694
4270,CA-2016-166975
9833,CA-2018-130302
3892,US-2017-163881
1507,CA-2017-134208
4866,CA-2018-122490
3995,CA-2016-105627
2303,CA-2018-157931
3089,US-2018-159205
7685,CA-2016-116876
5045,CA-2017-158694
5812,US-2016-163279
5732,CA-2018-143574
8338,CA-2015-153087
4573,CA-2017-139395
5439,CA-2017-167115
4414,CA-2018-132339
1121,US-2015-147627
9094,US-2016-132836
3495,CA-2018-142034
1777,CA-2016-105347
5881,CA-2017-133935
8259,CA-2017-118101
6868,US-2017-126452
4812,CA-2017-121370
769,CA-2017-157245
2418,CA-2017-107202
373,US-2015-119137
7907,CA-2017-112585
5848,CA-2016-121783
623,CA-2016-138009
5274,CA-2016-162887
651,CA-2017-132661
8497,CA-2015-169061
8613,CA-2017-138233
4250,CA-2015-168130
6041,CA-2018-122364
9162,CA-2017-160108
5831,CA-2016-111206
6180,CA-2016-158421
6468,CA-2017-163804
1338,CA-2018-100524
7193,CA-2017-110492
1596,CA-2018-132234
1549,CA-2015-134278
5619,US-2017-124163
1492,CA-2018-166436
7396,CA-2017-110975
6046,CA-2017-154662
995,CA-2015-117639
4088,US-2015-156559
2442,CA-2017-146934
7890,CA-2017-148684
2307,CA-2018-116225
9407,CA-2018-162789
7927,CA-2018-120404
1383,US-2017-108504
6345,CA-2016-146255
4095,CA-2016-102491
6558,CA-2016-166947
6291,CA-2018-143756
9462,US-2018-109610
359,CA-2018-155698
3482,CA-2015-124688
6900,CA-2016-140557
2324,CA-2016-109470
1300,CA-2017-137043
3654,CA-2018-133004
2467,CA-2018-128755
117,CA-2016-110457
4672,CA-2017-133550
6677,CA-2016-109337
4286,CA-2016-105690
3691,US-2016-131359
7016,CA-2015-114790
5585,CA-2018-105333
1433,CA-2015-120768
6746,CA-2018-159156
4176,CA-2015-128846
685,CA-2015-157784
9043,CA-2017-168830
7705,CA-2017-114601
253,CA-2017-146941
4364,CA-2018-111332
8693,CA-2017-118311
8493,CA-2016-109190
9839,US-2017-125402
6131,CA-2015-163447
9662,CA-2017-160717
1392,US-2017-108504
4412,CA-2015-130624
4607,CA-2016-135020
5169,CA-2015-121006
8132,CA-2015-127866
8736,CA-2017-168774
9649,CA-2017-107104
4192,CA-2016-150875
4434,CA-2017-168893
7820,CA-2018-152436
2596,CA-2018-149048
5917,US-2016-126977
8554,CA-2017-102092
3184,CA-2018-152912
4341,CA-2018-130309
9393,CA-2015-125997
6777,US-2018-166037
2593,CA-2018-128300
7690,US-2018-128951
2250,CA-2016-116092
2575,CA-2015-129091
1019,CA-2016-108665
6486,CA-2016-120621
9405,CA-2015-152618
8145,US-2015-112949
1627,CA-2016-143119
7558,US-2015-137155
9730,CA-2015-111962
9979,US-2017-103674
7744,CA-2017-133613
1895,CA-2016-109197
3642,CA-2015-156594
3617,CA-2018-141929
4975,CA-2016-142202
2987,CA-2017-139269
2682,CA-2018-127026
5761,CA-2018-158169
9388,US-2018-127292
4013,CA-2016-165624
7681,CA-2015-133592
1752,CA-2018-116715
5172,CA-2017-122903
4486,CA-2017-109365
4407,CA-2017-100041
2162,CA-2018-166296
4249,CA-2017-157336
1756,CA-2016-135622
4865,CA-2018-122490
7098,CA-2018-144596
4542,CA-2018-113474
8335,CA-2018-161655
5450,US-2015-119081
5638,CA-2015-154893
4987,CA-2017-149279
7511,US-2018-161935
4377,CA-2015-166954
7525,CA-2015-125731
9201,CA-2017-152688
1444,CA-2017-133725
6853,US-2018-162670
8898,CA-2016-163237
4269,US-2018-124821
7456,CA-2016-137974
4617,CA-2016-117800
9168,CA-2017-140571
1403,US-2017-161396
6770,CA-2018-139402
7447,CA-2018-127474
5022,CA-2017-133795
5018,CA-2015-127558
1040,CA-2017-127670
4734,CA-2017-120530
9032,CA-2018-105823
6389,CA-2016-147529
2113,CA-2016-164882
5233,CA-2015-115084
3559,CA-2018-152737
9732,CA-2015-114321
587,CA-2016-128139
8466,CA-2016-101000
8924,CA-2017-168032
8638,CA-2018-118346
6533,US-2018-107384
6756,CA-2018-124205
6283,CA-2017-100944
5849,CA-2016-121783
2640,CA-2018-108441
8202,CA-2016-114811
8177,CA-2018-149699
3209,CA-2017-108882
1626,CA-2016-164539
4618,CA-2016-117800
5694,US-2016-138093
7814,US-2018-109316
2558,CA-2016-147788
2861,CA-2018-138975
6513,CA-2018-167640
944,CA-2016-120880
7938,CA-2018-166093
9394,CA-2015-125997
4346,CA-2017-120355
7751,CA-2016-133242
4312,CA-2015-125829
7047,CA-2015-150581
1249,CA-2018-115602
9447,CA-2018-136882
3068,CA-2018-106859
426,CA-2018-149160
7891,CA-2017-148684
2344,CA-2017-119025
8282,CA-2016-154284
4783,US-2018-147984
6508,CA-2018-102197
1117,CA-2016-142755
226,CA-2016-163055
4697,US-2016-138121
3497,CA-2017-107328
7798,CA-2018-166184
7384,CA-2017-105732
893,CA-2018-133256
5297,CA-2018-108791
8284,CA-2016-154284
1246,CA-2015-168494
4441,US-2017-111290
8552,CA-2015-140473
3082,US-2018-132297
4160,CA-2018-115546
6695,US-2017-155103
3053,CA-2017-128517
9782,CA-2016-149748
6140,CA-2018-121083
7857,CA-2015-103429
5219,CA-2018-145653
1982,CA-2015-122749
6628,CA-2016-135489
5025,US-2018-130953
2568,CA-2018-148929
2332,CA-2018-169285
3603,CA-2018-112956
9847,CA-2018-169327
13,CA-2017-161389
5669,CA-2017-142405
2318,CA-2018-122035
7278,CA-2017-157217
8840,CA-2015-153808
6613,CA-2016-107678
2255,CA-2017-164091
5595,CA-2018-160325
9780,CA-2017-153178
990,CA-2016-153549
182,CA-2015-158274
624,CA-2016-138009
1755,CA-2016-135622
5940,CA-2018-112431
2408,CA-2018-144589
6988,CA-2018-158561
4221,CA-2018-134565
3731,CA-2016-109575
8045,CA-2017-145611
320,CA-2015-164973
3049,CA-2018-121419
3091,CA-2017-112123
1136,CA-2017-152170
1774,CA-2015-118976
5533,US-2017-167472
2753,CA-2016-155306
8424,CA-2018-150091
8001,CA-2016-110870
9100,CA-2018-152933
1827,CA-2017-109344
4042,CA-2015-110786
5989,CA-2017-163776
1389,US-2017-108504
8123,CA-2015-138128
8451,CA-2015-131387
2299,CA-2016-113145
9689,US-2018-135986
5949,CA-2018-161046
7459,CA-2016-137974
3467,US-2016-147242
9197,CA-2015-103310
1048,CA-2015-139192
6879,CA-2016-137113
6907,CA-2017-140249
5156,CA-2018-163006
2759,CA-2017-146171
4900,CA-2018-120936
5759,US-2017-111528
3218,CA-2018-104640
659,CA-2016-146563
5898,CA-2017-167682
1850,CA-2016-160472
9157,CA-2015-134215
5973,CA-2016-143980
2108,CA-2016-164882
1242,US-2017-162859
3974,CA-2017-167556
2336,CA-2018-152695
35,CA-2017-117590
4687,CA-2017-101987
5576,CA-2017-136686
7218,CA-2016-150770
2533,CA-2015-111500
9692,CA-2016-107902
6011,CA-2016-135580
4560,CA-2016-118871
4850,CA-2015-107818
7084,CA-2018-118724
1081,CA-2016-110016
7163,CA-2015-122070
6754,CA-2017-154767
3592,CA-2017-108434
5210,CA-2016-156755
6249,CA-2018-121580
7231,CA-2018-153843
5987,CA-2017-163776
2897,US-2017-164630
7458,CA-2016-137974
6894,CA-2018-164756
3829,CA-2018-141733
3799,CA-2018-147760
3208,CA-2017-108882
1374,CA-2016-120362
6574,CA-2017-160535
1401,CA-2017-159212
1416,CA-2016-126697
5726,CA-2016-110548
5377,CA-2015-125542
1546,CA-2016-111395
821,CA-2015-140858
8819,CA-2016-142930
9313,CA-2016-111948
3504,CA-2017-150945
2015,CA-2017-145905
1516,CA-2018-148446
2937,US-2017-169040
3694,CA-2017-142097
1540,CA-2018-121888
6608,CA-2017-148852
8205,CA-2016-114811
4181,US-2018-136868
5482,CA-2018-105487
2263,CA-2017-131065
9601,CA-2017-117604
6896,CA-2018-164756
4650,CA-2018-150987
1934,CA-2018-101245
4457,CA-2018-115175
2436,CA-2018-140053
3837,CA-2015-126760
714,US-2018-100048
5270,CA-2018-144484
923,CA-2016-111164
7477,CA-2015-167199
5064,CA-2018-122196
437,CA-2017-147375
1699,CA-2015-135657
7629,CA-2015-162089
6664,CA-2018-162173
7578,CA-2017-138597
5167,CA-2015-121006
9274,US-2015-134054
5951,CA-2018-161046
8431,CA-2018-155621
2314,CA-2018-122035
189,CA-2016-102281
7572,CA-2015-100916
7325,US-2018-128447
1510,CA-2018-100384
5978,CA-2015-117765
1118,CA-2016-142755
5715,CA-2016-124107
2680,CA-2018-127026
5337,CA-2018-111577
7057,CA-2017-165330
67,CA-2015-106376
5035,CA-2015-169803
2814,CA-2016-135685
4068,CA-2015-102673
2750,CA-2015-154669
4491,CA-2015-150798
5594,CA-2018-160325
712,US-2018-100048
9957,US-2015-143287
1191,CA-2018-117212
2717,CA-2015-100006
7253,CA-2017-152730
7149,CA-2016-166583
3522,CA-2017-114482
1413,CA-2015-146640
8396,CA-2015-152254
3145,CA-2018-131828
6159,CA-2017-161025
8028,CA-2016-132465
6649,US-2018-124779
6744,CA-2018-111269
1260,CA-2018-117079
1922,CA-2017-156685
7756,CA-2018-100902
6617,CA-2017-123512
1783,CA-2018-166317
3718,CA-2017-142370
3224,CA-2015-108189
1146,CA-2016-112452
3889,CA-2015-100895
8914,US-2017-144057
8888,CA-2018-103968
8044,CA-2018-165008
9227,CA-2018-140515
7840,US-2015-137869
3777,CA-2016-107937
2103,CA-2018-167101
2296,CA-2016-113145
1486,CA-2016-140410
6516,US-2018-116652
5062,CA-2016-136798
2549,US-2016-128090
4580,CA-2016-164427
5148,CA-2018-128734
7103,CA-2018-147410
7507,CA-2015-115889
1084,US-2017-143819
1979,CA-2017-112669
5829,CA-2017-122063
9158,CA-2015-134215
9090,US-2018-148831
6363,CA-2018-110443
5040,CA-2016-136469
9030,CA-2018-128041
147,CA-2017-114489
6325,CA-2016-110289
1094,CA-2016-165085
5630,CA-2015-127614
7872,CA-2017-101672
6289,US-2016-139675
6757,CA-2018-124205
8998,CA-2018-122763
730,US-2017-150861
5393,US-2015-123183
1969,CA-2018-117485
7639,CA-2018-104885
2684,CA-2018-137085
6241,CA-2018-141572
6354,US-2016-109015
3768,CA-2015-153913
4504,US-2015-138247
1796,US-2018-139465
8063,CA-2017-132997
7386,CA-2017-105732
9063,US-2015-151015
9910,US-2016-129007
1645,CA-2016-111829
4239,CA-2018-158673
2743,CA-2016-140144
9813,CA-2017-117583
8117,US-2018-113201
3711,CA-2018-113670
2220,CA-2018-130841
2856,CA-2017-128594
5869,CA-2017-152247
9723,CA-2015-101364
1157,CA-2015-136567
7099,CA-2016-124933
4730,US-2016-103996
6920,CA-2018-121706
802,CA-2017-136133
6708,CA-2016-123141
2659,CA-2016-135538
6710,CA-2017-149503
3747,CA-2018-161956
1620,CA-2018-108560
7704,CA-2017-114601
9565,CA-2015-130428
2859,CA-2018-138975
9882,CA-2015-153927
6768,CA-2015-109302
4651,CA-2018-150987
1920,US-2018-111423
3994,CA-2016-105627
7606,CA-2017-101791
8577,CA-2018-146164
5435,CA-2016-160171
2391,US-2016-127040
3532,CA-2015-110849
9323,CA-2018-121853
6929,CA-2017-140382
9893,US-2017-115441
3748,CA-2018-161956
8862,CA-2016-125934
1673,CA-2016-150560
6315,CA-2015-100762
6488,CA-2016-120621
9830,CA-2015-113257
6091,CA-2018-100111
2272,CA-2016-142944
1245,CA-2015-168494
2597,CA-2018-149048
8157,CA-2017-103464
2416,CA-2018-168655
9139,CA-2015-106971
3328,CA-2015-165309
4015,CA-2016-165624
9637,CA-2015-124702
2728,CA-2018-119193
2735,CA-2016-115798
3661,CA-2017-155005
8771,CA-2018-115882
2793,CA-2015-154599
7755,CA-2018-100902
4197,US-2017-161683
5975,CA-2018-102155
3726,CA-2017-165169
6239,CA-2016-134075
3353,US-2015-150434
6267,CA-2016-115392
6329,CA-2015-167927
2370,CA-2018-155152
980,CA-2017-144939
3662,US-2018-129777
1983,CA-2015-164721
4858,CA-2016-137526
8879,US-2016-107944
1911,CA-2018-121503
5670,CA-2016-141012
5459,CA-2018-116680
271,CA-2016-155334
2707,CA-2018-155873
5879,CA-2017-133319
8254,CA-2018-152310
1004,CA-2016-126445
9482,CA-2016-158351
967,CA-2018-135279
5002,CA-2017-136126
5052,US-2018-120607
4809,CA-2016-151589
7677,CA-2015-133592
2879,CA-2017-152072
6866,US-2017-126452
6290,US-2016-139675
597,CA-2015-131450
8359,CA-2015-110555
4851,CA-2015-107818
8225,CA-2018-104136
7769,CA-2017-155978
2257,CA-2018-105214
3140,CA-2016-112557
1159,CA-2018-147039
9549,CA-2017-131744
7,CA-2015-115812
9744,CA-2018-141782
829,CA-2018-129462
1042,CA-2017-102981
4134,CA-2015-128839
7036,CA-2015-124618
8253,CA-2018-152310
8570,CA-2017-162390
4572,CA-2018-126662
7094,US-2016-153374
6274,US-2017-139087
4399,CA-2017-131737
9085,CA-2017-126102
7096,CA-2017-101980
8066,CA-2017-132997
9596,CA-2018-104619
7854,CA-2018-135587
3858,CA-2015-140816
8555,CA-2016-117884
8162,CA-2016-120915
713,US-2018-100048
8814,CA-2016-144274
1579,CA-2016-131338
6045,CA-2016-113215
7645,CA-2016-161452
1190,CA-2018-117212
2938,US-2017-169040
4716,CA-2018-143126
6150,US-2017-106600
8332,CA-2017-153269
5500,CA-2018-164378
7452,CA-2018-105669
3411,CA-2017-100244
7670,CA-2016-130974
7630,CA-2015-162089
3066,CA-2018-106859
3797,CA-2018-121314
1283,CA-2018-122154
9631,CA-2017-168844
1630,CA-2017-106530
473,CA-2015-144666
8420,CA-2018-118199
7996,US-2018-105998
8159,CA-2017-120803
8279,CA-2018-146192
785,CA-2016-154921
4450,CA-2016-121965
622,CA-2016-138009
5447,US-2017-127425
2978,CA-2015-109232
7635,US-2018-158526
9941,CA-2018-164028
6473,CA-2017-113292
362,CA-2018-144904
4682,CA-2017-127698
8067,US-2016-160563
8880,US-2016-107944
9761,CA-2015-121762
6582,CA-2017-148516
733,CA-2018-131954
5886,US-2015-109456
2440,CA-2017-146934
6633,CA-2017-166275
4345,CA-2018-105410
4763,CA-2015-112851
6856,US-2018-162670
3554,CA-2015-120838
641,CA-2018-167913
5934,US-2018-169551
634,CA-2018-144694
5636,CA-2018-123022
10,CA-2015-115812
792,CA-2017-105256
1046,CA-2017-169103
4271,CA-2017-123806
4217,CA-2018-149881
4202,CA-2016-143105
9556,CA-2016-156853
2901,CA-2018-124898
5053,CA-2016-141243
8364,CA-2018-137631
1295,CA-2016-138898
2810,CA-2016-135685
6296,CA-2015-141313
480,CA-2017-100790
7648,CA-2017-138968
1624,CA-2016-157084
9537,CA-2017-148747
2013,CA-2017-145905
4519,CA-2018-107167
8908,CA-2016-109603
3421,CA-2017-134803
727,US-2017-150861
5072,CA-2015-124478
9093,US-2016-132836
4968,CA-2016-122406
8543,CA-2015-137575
5037,CA-2018-141719
307,CA-2015-111003
9367,CA-2015-108147
9853,CA-2017-158155
9658,CA-2015-156160
8223,CA-2017-104633
4771,US-2015-167262
9892,US-2017-115441
6727,CA-2018-145443
1028,CA-2015-163552
6620,US-2018-167402
3280,CA-2015-102988
3466,US-2016-147242
4870,CA-2018-131366
2841,US-2018-135062
1301,CA-2017-137043
3069,US-2018-120089
9429,CA-2016-166219
4941,CA-2016-156482
7559,US-2015-137155
9498,CA-2018-118213
5266,CA-2018-147452
3998,CA-2016-105627
7921,CA-2018-107713
2708,CA-2016-121797
497,CA-2017-126158
323,CA-2017-162138
5065,CA-2018-142090
3774,US-2015-102715
2092,CA-2015-145926
8300,CA-2016-109169
2594,CA-2018-149048
7406,CA-2016-100146
3746,CA-2017-149979
6419,CA-2017-140130
6312,CA-2018-120019
6736,CA-2017-123358
911,CA-2018-137596
5590,CA-2017-115224
2356,CA-2016-111514
5870,CA-2017-128223
7462,CA-2016-138485
6693,CA-2018-144225
2653,CA-2018-112515
8944,CA-2015-154592
3028,CA-2018-116855
9532,CA-2017-116596
1280,CA-2017-160815
5129,CA-2015-160766
2905,CA-2015-127586
9737,CA-2018-129294
150,CA-2017-114489
2099,CA-2018-124401
2289,CA-2018-115154
5288,US-2018-136784
9726,CA-2018-167395
319,CA-2015-164973
5306,US-2017-168410
722,CA-2017-142335
791,CA-2016-115938
3092,CA-2017-112123
2670,CA-2015-126403
5224,US-2018-109582
7867,CA-2015-100972
2674,CA-2018-136875
1968,CA-2018-165841
5371,US-2018-136721
6993,CA-2016-109386
6672,CA-2016-153794
6665,CA-2017-115483
2262,CA-2018-122994
1966,CA-2018-165841
9648,CA-2015-150518
4467,CA-2018-168641
1387,US-2017-108504
4317,CA-2016-136735
293,CA-2015-111451
8003,CA-2015-143210
2540,CA-2016-113404
575,CA-2016-149713
1883,CA-2017-118570
5950,CA-2018-161046
3420,CA-2017-134803
7680,CA-2015-133592
4376,CA-2015-166954
8400,CA-2016-110814
3310,CA-2017-111416
2800,CA-2017-153318
5815,CA-2015-124730
3396,US-2018-148362
7858,CA-2015-103429
8569,CA-2017-162390
2290,CA-2016-149342
1304,US-2018-126179
8453,CA-2017-125087
847,CA-2016-114300
2024,US-2018-111241
4692,CA-2015-138681
7636,US-2018-158526
2654,CA-2018-112515
4990,CA-2018-107321
5196,CA-2015-159709
7308,CA-2017-144092
7939,CA-2018-166093
8868,CA-2017-158260
5959,CA-2017-127138
7657,US-2015-120740
8191,US-2018-155866
4035,US-2017-108777
1259,US-2017-168620
1971,CA-2018-140242
430,US-2017-123750
181,CA-2015-166191
7341,CA-2015-116190
8000,US-2016-151407
